3349CSTAD,Student1,19,3,2002,Class1,Subject5,2024-05-14
7509CSTAD,Student2,15,10,1991,Class4,Subject1,2024-05-14
7836CSTAD,Student3,18,5,2000,Class5,Subject1,2024-05-14
1529CSTAD,Student4,11,5,2009,Class1,Subject3,2024-05-14
7642CSTAD,Student5,4,11,2000,Class4,Subject4,2024-05-14
6931CSTAD,Student6,19,11,2001,Class1,Subject2,2024-05-14
7536CSTAD,Student7,18,10,2003,Class4,Subject1,2024-05-14
5829CSTAD,Student8,7,10,2006,Class2,Subject2,2024-05-14
5264CSTAD,Student9,11,1,2001,Class5,Subject4,2024-05-14
3719CSTAD,Student10,19,5,1991,Class3,Subject5,2024-05-14
9283CSTAD,Student11,8,6,2000,Class1,Subject4,2024-05-14
9789CSTAD,Student12,3,11,2000,Class5,Subject2,2024-05-14
5798CSTAD,Student13,13,3,2004,Class3,Subject5,2024-05-14
3698CSTAD,Student14,25,3,1991,Class5,Subject4,2024-05-14
7274CSTAD,Student15,23,3,1996,Class2,Subject3,2024-05-14
2729CSTAD,Student16,12,5,2003,Class2,Subject2,2024-05-14
3424CSTAD,Student17,18,7,1990,Class3,Subject2,2024-05-14
1315CSTAD,Student18,19,10,2009,Class1,Subject3,2024-05-14
9942CSTAD,Student19,1,8,1991,Class4,Subject2,2024-05-14
5732CSTAD,Student20,6,1,1991,Class5,Subject1,2024-05-14
2931CSTAD,Student21,16,10,1990,Class3,Subject1,2024-05-14
1777CSTAD,Student22,17,1,2007,Class1,Subject3,2024-05-14
6327CSTAD,Student23,2,7,2009,Class2,Subject1,2024-05-14
5516CSTAD,Student24,4,7,1992,Class4,Subject3,2024-05-14
8119CSTAD,Student25,1,3,2004,Class5,Subject2,2024-05-14
8839CSTAD,Student26,17,10,2004,Class1,Subject5,2024-05-14
1677CSTAD,Student27,20,3,2009,Class2,Subject5,2024-05-14
9262CSTAD,Student28,3,11,1994,Class2,Subject4,2024-05-14
2780CSTAD,Student29,12,9,1992,Class3,Subject3,2024-05-14
2902CSTAD,Student30,8,7,1991,Class2,Subject4,2024-05-14
6754CSTAD,Student31,22,6,1995,Class2,Subject4,2024-05-14
8491CSTAD,Student32,24,3,1996,Class4,Subject1,2024-05-14
3103CSTAD,Student33,25,1,2006,Class4,Subject4,2024-05-14
1615CSTAD,Student34,9,6,1991,Class4,Subject5,2024-05-14
5914CSTAD,Student35,4,5,1994,Class1,Subject1,2024-05-14
2759CSTAD,Student36,6,7,2008,Class4,Subject5,2024-05-14
5131CSTAD,Student37,28,2,2008,Class4,Subject5,2024-05-14
3599CSTAD,Student38,28,6,1990,Class5,Subject4,2024-05-14
2531CSTAD,Student39,28,4,2001,Class5,Subject1,2024-05-14
7733CSTAD,Student40,4,10,2003,Class5,Subject2,2024-05-14
4096CSTAD,Student41,21,11,2004,Class5,Subject2,2024-05-14
5378CSTAD,Student42,10,1,1997,Class5,Subject2,2024-05-14
4622CSTAD,Student43,17,4,2009,Class4,Subject3,2024-05-14
9452CSTAD,Student44,10,7,2004,Class3,Subject3,2024-05-14
1960CSTAD,Student45,8,2,1997,Class3,Subject5,2024-05-14
7049CSTAD,Student46,5,5,1990,Class2,Subject1,2024-05-14
1428CSTAD,Student47,27,10,2007,Class2,Subject3,2024-05-14
2198CSTAD,Student48,15,1,1993,Class5,Subject2,2024-05-14
7533CSTAD,Student49,21,12,1990,Class1,Subject5,2024-05-14
6269CSTAD,Student50,21,7,2003,Class3,Subject2,2024-05-14
3907CSTAD,Student51,7,1,2005,Class5,Subject4,2024-05-14
6244CSTAD,Student52,14,11,1999,Class5,Subject2,2024-05-14
7669CSTAD,Student53,11,10,1996,Class2,Subject4,2024-05-14
1066CSTAD,Student54,3,4,1996,Class2,Subject1,2024-05-14
3423CSTAD,Student55,22,12,1996,Class5,Subject4,2024-05-14
7236CSTAD,Student56,28,2,2008,Class5,Subject1,2024-05-14
6799CSTAD,Student57,4,7,1991,Class3,Subject5,2024-05-14
3405CSTAD,Student58,2,3,2008,Class4,Subject1,2024-05-14
5850CSTAD,Student59,21,10,1998,Class5,Subject4,2024-05-14
5940CSTAD,Student60,23,3,2003,Class4,Subject3,2024-05-14
8300CSTAD,Student61,17,12,1996,Class5,Subject1,2024-05-14
3295CSTAD,Student62,5,12,2009,Class1,Subject5,2024-05-14
7613CSTAD,Student63,8,4,1992,Class1,Subject1,2024-05-14
6620CSTAD,Student64,19,6,1993,Class5,Subject2,2024-05-14
4136CSTAD,Student65,9,11,1995,Class4,Subject2,2024-05-14
2712CSTAD,Student66,5,5,2003,Class5,Subject2,2024-05-14
8077CSTAD,Student67,18,11,2003,Class2,Subject4,2024-05-14
1352CSTAD,Student68,7,10,1992,Class3,Subject4,2024-05-14
2358CSTAD,Student69,14,2,2000,Class1,Subject4,2024-05-14
6621CSTAD,Student70,14,12,2007,Class3,Subject3,2024-05-14
1815CSTAD,Student71,14,1,2002,Class3,Subject2,2024-05-14
5021CSTAD,Student72,20,11,2003,Class3,Subject3,2024-05-14
9120CSTAD,Student73,28,6,2008,Class4,Subject5,2024-05-14
2443CSTAD,Student74,1,4,1999,Class3,Subject2,2024-05-14
9981CSTAD,Student75,18,4,1992,Class4,Subject2,2024-05-14
4560CSTAD,Student76,3,7,1994,Class5,Subject4,2024-05-14
3837CSTAD,Student77,16,12,1992,Class3,Subject1,2024-05-14
3723CSTAD,Student78,14,2,1992,Class5,Subject3,2024-05-14
8408CSTAD,Student79,26,2,2005,Class5,Subject4,2024-05-14
2707CSTAD,Student80,21,3,2001,Class3,Subject2,2024-05-14
3234CSTAD,Student81,26,12,1991,Class2,Subject3,2024-05-14
5221CSTAD,Student82,23,4,1993,Class1,Subject5,2024-05-14
4796CSTAD,Student83,1,4,2005,Class5,Subject4,2024-05-14
7744CSTAD,Student84,25,3,1996,Class4,Subject5,2024-05-14
3778CSTAD,Student85,8,5,1999,Class1,Subject1,2024-05-14
8981CSTAD,Student86,5,5,1997,Class5,Subject1,2024-05-14
